ID,Ubicación,Tipo,Superficie_Terreno_m2,Superficie_Construida_m2,Dormitorios,Baños,Cocina,Garage,Galpones,Servicios,Documentación,Precio_USD,Descripción
1,"El Alto, Urbanización San Juan Kenko",Terreno,210,44.03,2,1,Sí,No,No,"Agua, Luz, Gas",Saneado,50000,"Muro perimetral de ladrillo con pequeña construcción"
2,"El Alto, Complejo Deportivo",Casa,270,120.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,59000,"Departamento amplio de 2 dormitorios"
3,"El Alto, Calle Calama",Inmueble con Galpones,330,240.0,3,1,Sí,Sí,Sí,"Agua, Luz, Saneado, Alcantarillado",Saneado,70000,"3 dormitorios con galpón y garaje"
4,"Santa Cruz, Zona Norte",Departamento,110,110.0,3,2,Sí,No,No,"Agua, Luz, Alcantarillado",Saneado,45000,"Departamento a pocas cuadras de la plaza"
5,"Cochabamba, Av. Libertador",Terreno,500,0.0,0,0,No,No,No,"Agua, Luz",Saneado,25000,"Ideal para emprendimiento inmobiliario"
6,"Tarija, Los Olivos",Casa de Campo,1000,150.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,95000,"Con jardín amplio y piscina"
7,"La Paz, Av. Camacho",Departamento,90,90.0,2,2,Sí,No,No,"Agua, Luz, Gas",Saneado,70000,"A pasos del teleférico"
8,"El Alto, Av. 6 de Marzo",Terreno Industrial,1000,50.0,1,1,Sí,Sí,Sí,"Agua, Luz, Alcantarillado",Saneado,85000,"Para emprendimientos de logística"
9,"Santa Cruz, Equipetrol",Departamento,85,85.0,1,1,Sí,No,No,"Agua, Luz",Saneado,55000,"Ubicación estratégica en zona comercial"
10,"La Paz, Sopocachi",Departamento,130,130.0,3,2,Sí,No,No,"Agua, Luz, Saneado, Alcantarillado",Saneado,90000,"Acabados de lujo y vista panorámica"
11,"El Alto, Urbanización San Juan Kenko",Terreno,210,44.03,2,1,Sí,No,No,"Agua, Luz, Gas",Saneado,50000,"Muro perimetral de ladrillo con pequeña construcción"
12,"El Alto, Complejo Deportivo",Casa,270,120.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,59000,"Departamento amplio de 2 dormitorios"
13,"El Alto, Calle Calama",Inmueble con Galpones,330,240.0,3,1,Sí,Sí,Sí,"Agua, Luz, Saneado, Alcantarillado",Saneado,70000,"3 dormitorios con galpón y garaje"
14,"Santa Cruz, Zona Norte",Departamento,110,110.0,3,2,Sí,No,No,"Agua, Luz, Alcantarillado",Saneado,45000,"Departamento a pocas cuadras de la plaza"
15,"Cochabamba, Av. Libertador",Terreno,500,0.0,0,0,No,No,No,"Agua, Luz",Saneado,25000,"Ideal para emprendimiento inmobiliario"
16,"Tarija, Los Olivos",Casa de Campo,1000,150.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,95000,"Con jardín amplio y piscina"
17,"La Paz, Av. Camacho",Departamento,90,90.0,2,2,Sí,No,No,"Agua, Luz, Gas",Saneado,70000,"A pasos del teleférico"
18,"El Alto, Av. 6 de Marzo",Terreno Industrial,1000,50.0,1,1,Sí,Sí,Sí,"Agua, Luz, Alcantarillado",Saneado,85000,"Para emprendimientos de logística"
19,"Santa Cruz, Equipetrol",Departamento,85,85.0,1,1,Sí,No,No,"Agua, Luz",Saneado,55000,"Ubicación estratégica en zona comercial"
20,"La Paz, Sopocachi",Departamento,130,130.0,3,2,Sí,No,No,"Agua, Luz, Saneado, Alcantarillado",Saneado,90000,"Acabados de lujo y vista panorámica"
21,"El Alto, Urbanización San Juan Kenko",Terreno,210,44.03,2,1,Sí,No,No,"Agua, Luz, Gas",Saneado,50000,"Muro perimetral de ladrillo con pequeña construcción"
22,"El Alto, Complejo Deportivo",Casa,270,120.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,59000,"Departamento amplio de 2 dormitorios"
23,"El Alto, Calle Calama",Inmueble con Galpones,330,240.0,3,1,Sí,Sí,Sí,"Agua, Luz, Saneado, Alcantarillado",Saneado,70000,"3 dormitorios con galpón y garaje"
24,"Santa Cruz, Zona Norte",Departamento,110,110.0,3,2,Sí,No,No,"Agua, Luz, Alcantarillado",Saneado,45000,"Departamento a pocas cuadras de la plaza"
25,"Cochabamba, Av. Libertador",Terreno,500,0.0,0,0,No,No,No,"Agua, Luz",Saneado,25000,"Ideal para emprendimiento inmobiliario"
26,"Tarija, Los Olivos",Casa de Campo,1000,150.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,95000,"Con jardín amplio y piscina"
27,"La Paz, Av. Camacho",Departamento,90,90.0,2,2,Sí,No,No,"Agua, Luz, Gas",Saneado,70000,"A pasos del teleférico"
28,"El Alto, Av. 6 de Marzo",Terreno Industrial,1000,50.0,1,1,Sí,Sí,Sí,"Agua, Luz, Alcantarillado",Saneado,85000,"Para emprendimientos de logística"
29,"Santa Cruz, Equipetrol",Departamento,85,85.0,1,1,Sí,No,No,"Agua, Luz",Saneado,55000,"Ubicación estratégica en zona comercial"
30,"La Paz, Sopocachi",Departamento,130,130.0,3,2,Sí,No,No,"Agua, Luz, Saneado, Alcantarillado",Saneado,90000,"Acabados de lujo y vista panorámica"
31,"El Alto, Urbanización San Juan Kenko",Terreno,210,44.03,2,1,Sí,No,No,"Agua, Luz, Gas",Saneado,50000,"Muro perimetral de ladrillo con pequeña construcción"
32,"El Alto, Complejo Deportivo",Casa,270,120.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,59000,"Departamento amplio de 2 dormitorios"
33,"El Alto, Calle Calama",Inmueble con Galpones,330,240.0,3,1,Sí,Sí,Sí,"Agua, Luz, Saneado, Alcantarillado",Saneado,70000,"3 dormitorios con galpón y garaje"
34,"Santa Cruz, Zona Norte",Departamento,110,110.0,3,2,Sí,No,No,"Agua, Luz, Alcantarillado",Saneado,45000,"Departamento a pocas cuadras de la plaza"
35,"Cochabamba, Av. Libertador",Terreno,500,0.0,0,0,No,No,No,"Agua, Luz",Saneado,25000,"Ideal para emprendimiento inmobiliario"
36,"Tarija, Los Olivos",Casa de Campo,1000,150.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,95000,"Con jardín amplio y piscina"
37,"La Paz, Av. Camacho",Departamento,90,90.0,2,2,Sí,No,No,"Agua, Luz, Gas",Saneado,70000,"A pasos del teleférico"
38,"El Alto, Av. 6 de Marzo",Terreno Industrial,1000,50.0,1,1,Sí,Sí,Sí,"Agua, Luz, Alcantarillado",Saneado,85000,"Para emprendimientos de logística"
39,"Santa Cruz, Equipetrol",Departamento,85,85.0,1,1,Sí,No,No,"Agua, Luz",Saneado,55000,"Ubicación estratégica en zona comercial"
40,"La Paz, Sopocachi",Departamento,130,130.0,3,2,Sí,No,No,"Agua, Luz, Saneado, Alcantarillado",Saneado,90000,"Acabados de lujo y vista panorámica"
41,"El Alto, Urbanización San Juan Kenko",Terreno,210,44.03,2,1,Sí,No,No,"Agua, Luz, Gas",Saneado,50000,"Muro perimetral de ladrillo con pequeña construcción"
42,"El Alto, Complejo Deportivo",Casa,270,120.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,59000,"Departamento amplio de 2 dormitorios"
43,"El Alto, Calle Calama",Inmueble con Galpones,330,240.0,3,1,Sí,Sí,Sí,"Agua, Luz, Saneado, Alcantarillado",Saneado,70000,"3 dormitorios con galpón y garaje"
44,"Santa Cruz, Zona Norte",Departamento,110,110.0,3,2,Sí,No,No,"Agua, Luz, Alcantarillado",Saneado,45000,"Departamento a pocas cuadras de la plaza"
45,"Cochabamba, Av. Libertador",Terreno,500,0.0,0,0,No,No,No,"Agua, Luz",Saneado,25000,"Ideal para emprendimiento inmobiliario"
46,"Tarija, Los Olivos",Casa de Campo,1000,150.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,95000,"Con jardín amplio y piscina"
47,"La Paz, Av. Camacho",Departamento,90,90.0,2,2,Sí,No,No,"Agua, Luz, Gas",Saneado,70000,"A pasos del teleférico"
48,"El Alto, Av. 6 de Marzo",Terreno Industrial,1000,50.0,1,1,Sí,Sí,Sí,"Agua, Luz, Alcantarillado",Saneado,85000,"Para emprendimientos de logística"
49,"Santa Cruz, Equipetrol",Departamento,85,85.0,1,1,Sí,No,No,"Agua, Luz",Saneado,55000,"Ubicación estratégica en zona comercial"
50,"La Paz, Sopocachi",Departamento,130,130.0,3,2,Sí,No,No,"Agua, Luz, Saneado, Alcantarillado",Saneado,90000,"Acabados de lujo y vista panorámica"
51,"El Alto, Urbanización San Juan Kenko",Terreno,210,44.03,2,1,Sí,No,No,"Agua, Luz, Gas",Saneado,50000,"Muro perimetral de ladrillo con pequeña construcción"
52,"El Alto, Complejo Deportivo",Casa,270,120.0,2,1,Sí,Sí,No,"Agua, Luz, Gas",Saneado,59000,"Departamento amplio de 2 dormitorios"
53,"El Alto, Calle Calama",Inmueble con Galpones,330,240.0,3,1,Sí,Sí,Sí,"Agua, Luz, Saneado, Alcantarillado",Saneado,70000,"3 dormitorios con galpón y garaje"
54,"Santa Cruz, Zona Norte",Departamento,110,110.0,3,2,Sí,No,No,"Agua, Luz, Alcantarillado",Saneado,45000,"Departamento a pocas cuadras de la plaza"
55,"Cochabamba, Av. Libertador",Terreno,500,0.0,0,0,No,No,No,"Agua, Luz",Saneado,25000,"Ideal para emprendimiento inmobiliario"
56,"Tarija, Los Olivos",Casa de Campo,1000,150.0,4,3,Sí,Sí,No,"Agua, Luz, Saneado",Saneado,95000,"Con jardín amplio y piscina"
57,"La Paz, Av. Camacho",Departamento,90,90.0,2,2,Sí,No,No,"Agua, Luz, Gas",Saneado,70000,"A pasos del teleférico"
58,"El Alto, Av. 6 de Marzo",Terreno Industrial,1000,50.0,1,1,Sí,Sí,Sí,"Agua, Luz, Alcantarillado",Saneado,85000,"Para emprendimientos de logística"
59,"Santa Cruz, Equipetrol",Departamento,85,85.0,1,1,Sí,No,No,"Agua, Luz",Saneado,55000,"Ubicación estratégica en zona comercial"
